City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Glendive,US,62.6,clear sky,47.11,-104.71,Baymont by Wyndham Glendive
2,Busselton,AU,61.0,clear sky,-33.65,115.33,Observatory Guest House
4,Rikitea,PF,74.55,few clouds,-23.12,-134.97,Pension Maro'i
5,Saldanha,ZA,60.8,overcast clouds,-33.01,17.94,Blue Bay Lodge
6,Almunecar,ES,66.99,overcast clouds,36.73,-3.69,Almuñécar Playa Spa Hotel
8,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
9,Cape Town,ZA,66.99,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
10,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
13,Hobart,AU,57.99,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
17,Wenling,CN,69.01,scattered clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
19,Atuona,PF,78.87,scattered clouds,-9.8,-139.03,Villa Enata
20,Mataura,NZ,63.82,scattered clouds,-46.19,168.86,Ellie's Villa
21,Sao Felix Do Xingu,BR,73.67,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
22,Bengkulu,ID,77.49,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
24,Pringsewu,ID,77.22,overcast clouds,-5.36,104.97,Urban Style by Front One
26,Port Alfred,ZA,66.78,scattered clouds,-33.59,26.89,The Halyards Hotel
27,Homa Bay,KE,69.64,light rain,-0.53,34.46,ACK Guest House - Homa Bay
28,Bredasdorp,ZA,62.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
30,Halifax,CA,53.6,overcast clouds,44.65,-63.57,Hotel Halifax
34,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
35,Castro,BR,56.14,clear sky,-24.79,-50.01,CHACARA BAILLY
36,Lauria,IT,53.24,scattered clouds,40.05,15.84,Hotel Isola Di Lauria
37,Punta Arenas,CL,50.0,scattered clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
39,Chuy,UY,56.88,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
42,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
45,Metlika,SI,50.0,overcast clouds,45.65,15.31,Hotel Bela Krajina
46,Carnarvon,AU,71.6,broken clouds,-24.87,113.63,Hospitality Carnarvon
48,Xichang,CN,55.27,light rain,27.9,102.26,Xichang ibis Hotel
52,Lagoa,PT,60.03,clear sky,39.05,-27.98,Casa Das Faias
53,Miles City,US,69.8,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
54,Muros,ES,57.99,clear sky,42.78,-9.06,Apartment Av. Castelao
57,Baghdad,IQ,62.6,clear sky,33.34,44.4,Baghdad Hotel
58,Mantua,IT,55.0,clear sky,45.17,10.78,Hotel la Favorita
60,Guerrero Negro,MX,79.38,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
62,Esna,EG,66.2,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
65,Iwanai,JP,52.72,scattered clouds,42.97,140.51,いわない高原ホテル
69,Trat,TH,73.87,few clouds,12.5,102.5,สวนหนิง-อัศ
70,Kruisfontein,ZA,63.0,broken clouds,-34.0,24.73,Oyster Bay House Rental
72,Sur,OM,74.44,clear sky,22.57,59.53,Sur Plaza Hotel
74,Los Llanos De Aridane,ES,66.2,broken clouds,28.66,-17.92,Valle Aridane
77,Monrovia,LR,79.5,moderate rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
83,New Norfolk,AU,57.99,light rain,-42.78,147.06,The Shingles Riverside Cottages
84,Bonthe,SL,79.59,few clouds,7.53,-12.51,Bonthe Holiday Village
85,Mahina,PF,78.8,thunderstorm,-17.51,-149.49,Guest Beach Bungalow Tahiti
88,Christchurch,NZ,57.2,overcast clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
89,Fort Smith,US,71.6,scattered clouds,35.39,-94.4,Hampton Inn Fort Smith
90,Kemalpasa,TR,62.6,scattered clouds,38.43,27.42,Su Perisi Otel
91,Hermanus,ZA,64.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
92,Saint-Philippe,RE,68.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
93,Ribeira Grande,PT,60.37,scattered clouds,38.52,-28.7,Quinta da Meia Eira
