City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.4,75,75,23.04,shower rain
1,Glendive,US,47.11,-104.71,62.6,36,1,9.17,clear sky
2,Busselton,AU,-33.65,115.33,61.0,51,0,15.9,clear sky
3,Tuktoyaktuk,CA,69.45,-133.04,3.2,71,20,14.99,few clouds
4,Rikitea,PF,-23.12,-134.97,74.55,69,20,12.71,few clouds
5,Saldanha,ZA,-33.01,17.94,60.8,87,100,8.05,overcast clouds
6,Almunecar,ES,36.73,-3.69,66.99,39,100,1.99,overcast clouds
7,Saskylakh,RU,71.92,114.08,9.63,95,100,8.7,overcast clouds
8,Avarua,CK,-21.21,-159.78,75.2,78,73,6.93,light rain
9,Cape Town,ZA,-33.93,18.42,66.99,87,40,19.46,scattered clouds
10,Mahebourg,MU,-20.41,57.7,73.4,78,40,8.05,scattered clouds
11,Albany,US,42.6,-73.97,60.8,44,75,8.05,broken clouds
12,Nikolskoye,RU,59.7,30.79,46.0,70,20,15.66,few clouds
13,Hobart,AU,-42.88,147.33,57.99,50,75,13.87,broken clouds
14,Banikoara,BJ,11.3,2.44,80.24,31,62,5.06,broken clouds
15,Sabang,ID,5.89,95.32,81.43,78,92,9.42,overcast clouds
16,Ekhabi,RU,53.51,142.97,28.06,93,100,25.08,light snow
17,Wenling,CN,28.37,121.36,69.01,79,40,6.53,scattered clouds
18,Vanavara,RU,60.34,102.28,3.52,91,100,12.62,overcast clouds
19,Atuona,PF,-9.8,-139.03,78.87,75,27,19.91,scattered clouds
20,Mataura,NZ,-46.19,168.86,63.82,36,39,1.41,scattered clouds
21,Sao Felix Do Xingu,BR,-6.64,-51.99,73.67,95,100,3.62,moderate rain
22,Bengkulu,ID,-3.8,102.27,77.49,83,98,3.78,overcast clouds
23,Ilulissat,GL,69.22,-51.1,19.4,67,99,11.41,light snow
24,Pringsewu,ID,-5.36,104.97,77.22,77,100,0.58,overcast clouds
25,Alugan,PH,12.22,125.48,81.7,82,86,7.56,overcast clouds
26,Port Alfred,ZA,-33.59,26.89,66.78,82,45,11.01,scattered clouds
27,Homa Bay,KE,-0.53,34.46,69.64,78,90,6.42,light rain
28,Bredasdorp,ZA,-34.53,20.04,62.6,82,100,11.41,overcast clouds
29,Seydi,TM,39.48,62.91,42.26,64,65,0.81,broken clouds
30,Halifax,CA,44.65,-63.57,53.6,81,100,17.22,overcast clouds
31,Ust-Ilimsk,RU,58.0,102.66,22.59,97,100,13.96,snow
32,Lompoc,US,34.64,-120.46,80.6,43,1,9.17,clear sky
33,Asau,RO,46.43,26.4,44.01,86,76,1.72,broken clouds
34,Souillac,MU,-20.52,57.52,73.4,78,40,8.05,scattered clouds
35,Castro,BR,-24.79,-50.01,56.14,60,0,1.92,clear sky
36,Lauria,IT,40.05,15.84,53.24,81,27,4.85,scattered clouds
37,Punta Arenas,CL,-53.15,-70.92,50.0,43,40,12.75,scattered clouds
38,Yellowknife,CA,62.46,-114.35,12.2,78,90,11.41,overcast clouds
39,Chuy,UY,-33.7,-53.46,56.88,92,7,7.05,clear sky
40,Vaini,TO,-21.2,-175.2,80.6,69,20,13.87,few clouds
41,Hilo,US,19.73,-155.09,87.8,45,40,6.93,scattered clouds
42,Puerto Ayora,EC,-0.74,-90.35,70.0,79,87,8.01,overcast clouds
43,Thompson,CA,55.74,-97.86,8.6,84,90,11.41,light snow
44,Mezen,RU,65.85,44.24,37.15,96,100,7.72,overcast clouds
45,Metlika,SI,45.65,15.31,50.0,66,89,3.36,overcast clouds
46,Carnarvon,AU,-24.87,113.63,71.6,88,75,13.87,broken clouds
47,Bilibino,RU,68.05,166.44,18.61,93,100,5.21,overcast clouds
48,Xichang,CN,27.9,102.26,55.27,76,91,3.49,light rain
49,Clyde River,CA,70.47,-68.59,-2.2,64,75,20.8,broken clouds
50,Tasiilaq,GL,65.61,-37.64,30.2,68,91,6.93,overcast clouds
51,Dikson,RU,73.51,80.55,-0.94,91,0,4.29,clear sky
52,Lagoa,PT,39.05,-27.98,60.03,65,9,16.26,clear sky
53,Miles City,US,46.41,-105.84,69.8,22,1,5.82,clear sky
54,Muros,ES,42.78,-9.06,57.99,71,0,4.7,clear sky
55,Ushtobe,KZ,45.25,77.98,36.1,71,78,8.37,broken clouds
56,Brownsville,US,25.9,-97.5,80.6,51,1,12.75,clear sky
57,Baghdad,IQ,33.34,44.4,62.6,63,0,8.05,clear sky
58,Mantua,IT,45.17,10.78,55.0,94,0,1.01,clear sky
59,Upernavik,GL,72.79,-56.15,5.25,89,52,6.44,broken clouds
60,Guerrero Negro,MX,27.98,-114.06,79.38,39,67,15.03,broken clouds
61,Mumford,GH,5.26,-0.76,80.02,85,92,8.46,overcast clouds
62,Esna,EG,25.29,32.55,66.2,77,0,8.3,clear sky
63,Kodinsk,RU,58.69,99.18,12.47,92,100,12.03,overcast clouds
64,Kapaa,US,22.08,-159.32,82.4,78,20,12.75,few clouds
65,Iwanai,JP,42.97,140.51,52.72,72,31,10.2,scattered clouds
66,Kodiak,US,57.79,-152.41,37.4,37,1,5.82,clear sky
67,Kidal,ML,18.44,1.41,77.2,21,0,11.18,clear sky
68,Hithadhoo,MV,-0.6,73.08,83.23,72,100,4.16,overcast clouds
69,Trat,TH,12.5,102.5,73.87,88,15,5.28,few clouds
70,Kruisfontein,ZA,-34.0,24.73,63.0,91,63,1.99,broken clouds
71,Chaman,PK,30.92,66.45,45.0,58,0,2.73,clear sky
72,Sur,OM,22.57,59.53,74.44,55,0,9.15,clear sky
73,Aripuana,BR,-9.17,-60.63,80.22,60,99,1.68,overcast clouds
74,Los Llanos De Aridane,ES,28.66,-17.92,66.2,68,75,4.7,broken clouds
75,Qaanaaq,GL,77.48,-69.36,-7.85,80,59,5.95,broken clouds
76,Sioux Lookout,CA,50.1,-91.92,37.4,86,90,3.36,overcast clouds
77,Monrovia,LR,6.3,-10.8,79.5,84,17,5.44,moderate rain
78,Nanortalik,GL,60.14,-45.24,28.8,84,50,38.99,scattered clouds
79,Hailar,CN,49.2,119.7,23.04,96,87,7.31,overcast clouds
80,Tiksi,RU,71.69,128.87,9.59,96,100,7.85,overcast clouds
81,Winneba,GH,5.35,-0.62,80.6,88,20,6.93,few clouds
82,Kahului,US,20.89,-156.47,93.2,41,20,4.7,few clouds
83,New Norfolk,AU,-42.78,147.06,57.99,61,100,5.01,light rain
84,Bonthe,SL,7.53,-12.51,79.59,82,17,4.32,few clouds
85,Mahina,PF,-17.51,-149.49,78.8,83,75,6.93,thunderstorm
